"","Row.names","logFC","AveExpr","t","P.Value","adj.P.Val","B","gene","count","sca.t","sca.P.Value","sca.adj.pval","CompoundName","CleanName","LipidABV","Formula","Mass","RT","LargerLipidGroup.ABV","LargerLipidGroup","LIPIDClass_CommonName","LipidClass_LIPID_MAPS","LIPID_MAPS"
"1","25-hydroxycholecalciferol__Pp",-4.46703298888139,-15.778782150538,-2.18455729235028,0.0389443790190293,0.0903994643361534,-4.65094887802382,"25-hydroxycholecalciferol__Pp",26,-2.18616296631947,0.0387908413064357,0.0905972866885857,"25-hydroxycholecalciferol","25-hydroxycholecalciferol","VitaminD3","C27 H44 O2",400.334,4.51,"Sterol lipids ","ST","Secosteroids","Vitamin D3","ST03"
"2","ASG.28:2;O;Hex;FA.21:3__Pp",-3.8661578565608,-9.72584136273635,-1.15049613420585,0.26129852363073,0.401641287789788,-6.22851251458524,"ASG.28:2;O;Hex;FA.21:3__Pp",26,-1.15159350458566,0.260831596130859,0.400914031285848,"ASG 28:2;O;Hex;FA 21:3","ASG 28:2;O;Hex;FA 21:3","ASG","C55 H90 O7",862.6821,12.43,"Fatty Acyls","FA"," Acyl Sterol Glycosides"," Acyl Sterol Glycosides",""
"3","C17-carnitine(d3)__Pp",-7.71083106635069,-14.1122331114265,-3.05383368022131,0.00546719831512362,0.0180419162175757,-2.83904532755185,"C17-carnitine(d3)__Pp",26,-3.0564434204906,0.00542480501320524,0.0179388438504855,"C17-carnitine(d3)","C17-carnitine(d3)","C17-carnitine(d3)","C24 H44 D3 N O4",416.3695,2.97,"Sterol lipids ","ST","Secosteroids","Vitamin D3","ST04"
"4","CE_d7.17:1__Pp",-3.050343533443,-15.6904972404006,-1.28987936289476,0.209410135720775,0.338076834922305,-6.06352542601637,"CE_d7.17:1__Pp",26,-1.29094050831515,0.209021538843416,0.338388137988507,"CE_d7 17:1","CE(d7 17:1)","CE_d7","C44 H69 O2",629.5294,13.69,"Sterol lipids ","ST","Cholesteryl ester","Cholesteryl esters ","ST0102"
"5","CE.14:1__Pp",-5.8695391602892,-11.0841866579425,-1.87816592837236,0.0725877342388004,0.147274239606517,-5.19711982879399,"CE.14:1__Pp",26,-1.87991960114163,0.072312110099022,0.150844616765702,"CE 14:1","CE 14:1","CE","C41 H70 O2",594.5373,13.01,"Sterol lipids ","ST","Cholesteryl ester","Cholesteryl esters ","ST0102"
"6","CE.16:1__Pp",-2.59898144456725,-3.61486706974118,-0.983490842265219,0.335198408473788,0.487412004302863,-6.40380181385665,"CE.16:1__Pp",26,-0.984350824053284,0.33476316153211,0.48696276882653,"CE 16:1","CE 16:1","CE","C43 H74 O2",622.5689,13.69,"Sterol lipids ","ST","Cholesteryl ester","Cholesteryl esters ","ST0102"
"7","CE.22:1__Pp",-2.17652159164865,-7.06946118930552,-0.691025588402865,0.496193791597858,0.639830318597994,-6.64885817176671,"CE.22:1__Pp",26,-0.691672406664573,0.495780385351613,0.641556015789398,"CE 22:1","CE 22:1","CE","C49 H86 O2",706.6627,14.61,"Sterol lipids ","ST","Cholesteryl ester","Cholesteryl esters ","ST0102"
"8","CE.24:1__Pp",-9.20058972204688,-13.6033671766589,-3.84007340686126,0.000790857887644676,0.00363857146726641,-0.984900087314347,"CE.24:1__Pp",26,-3.8432582611324,0.000782236853641834,0.00358473896708305,"CE 24:1","CE 24:1","CE","C51 H90 O2",734.6941,14.7,"Sterol lipids ","ST","Cholesteryl ester","Cholesteryl esters ","ST0102"
"9","Cer_ADS.d16:0_13:0__Np",0.763413084750895,-1.18972839276835,4.45496661353977,0.000166815321103302,0.000947185530557285,0.533047027631396,"Cer_ADS.d16:0_13:0__Np",26,4.25433694325921,0.000276594406736072,0.00145681397937008,"Cer_ADS d16:0_13:0","Cer ADS d16:0 13:0","Cer_ADS","C29 H59 N O4",485.4444,5.87,"Sphingolipids ","SP","Ceramides","Ceramide α-hydroxy fatty acid-dihydrosphingosine",""
"10","Cer_ADS.d16:0_14:0__Np",0.485168338573353,1.00354957085683,1.88147893287365,0.065626203916607,0.138888911561692,-5.51649860412039,"Cer_ADS.d16:0_14:0__Np",53,1.88575273419021,0.0650298927775857,0.138381709676617,"Cer_ADS d16:0_14:0","Cer ADS d16:0 14:0","Cer_ADS","C30 H61 N O4",499.46,6.33,"Sphingolipids ","SP","Ceramides","Ceramide α-hydroxy fatty acid-dihydrosphingosine",""
