"","Row.names","logFC","AveExpr","t","P.Value","adj.P.Val","B","gene","count","sca.t","sca.P.Value","sca.adj.pval","CompoundName","CleanName","LipidABV","Formula","Mass","RT","LargerLipidGroup.ABV","LargerLipidGroup","LIPIDClass_CommonName","LipidClass_LIPID_MAPS","LIPID_MAPS"
"1","25-hydroxycholecalciferol__Pp",-0.1012116091905,-15.778782150538,-0.0494965135645844,0.960934122230441,0.982888680383333,-6.19048406335805,"25-hydroxycholecalciferol__Pp",26,-0.0495328940539743,0.960904549950946,0.982858432463006,"25-hydroxycholecalciferol","25-hydroxycholecalciferol","VitaminD3","C27 H44 O2",400.334,4.51,"Sterol lipids ","ST","Secosteroids","Vitamin D3","ST03"
"2","ASG.28:2;O;Hex;FA.21:3__Pp",2.2919519415469,-9.72584136273635,0.6820419513033,0.501756334567976,0.676422309693004,-5.96166859009652,"ASG.28:2;O;Hex;FA.21:3__Pp",26,0.68269249902171,0.501338302942217,0.675845159757812,"ASG 28:2;O;Hex;FA 21:3","ASG 28:2;O;Hex;FA 21:3","ASG","C55 H90 O7",862.6821,12.43,"Fatty Acyls","FA"," Acyl Sterol Glycosides"," Acyl Sterol Glycosides",""
"3","C17-carnitine(d3)__Pp",-1.67188853359907,-14.1122331114265,-0.662142571863791,0.514201833354252,0.682517394360106,-5.97477191538546,"C17-carnitine(d3)__Pp",26,-0.662708424596701,0.513832021910429,0.684325484558054,"C17-carnitine(d3)","C17-carnitine(d3)","C17-carnitine(d3)","C24 H44 D3 N O4",416.3695,2.97,"Sterol lipids ","ST","Secosteroids","Vitamin D3","ST04"
"4","CE_d7.17:1__Pp",-1.77294636058163,-15.6904972404006,-0.74971454754552,0.460728756964666,0.643031502526225,-5.91432940917565,"CE_d7.17:1__Pp",26,-0.750331315424449,0.460348553425473,0.643272168292017,"CE_d7 17:1","CE(d7 17:1)","CE_d7","C44 H69 O2",629.5294,13.69,"Sterol lipids ","ST","Cholesteryl ester","Cholesteryl esters ","ST0102"
"5","CE.14:1__Pp",3.71190467490935,-11.0841866579425,1.18775472816461,0.246577266348745,0.450181744463953,-5.50782482887694,"CE.14:1__Pp",26,1.18886375324695,0.246123831933031,0.449745903249683,"CE 14:1","CE 14:1","CE","C41 H70 O2",594.5373,13.01,"Sterol lipids ","ST","Cholesteryl ester","Cholesteryl esters ","ST0102"
"6","CE.16:1__Pp",3.34395559671714,-3.61486706974118,1.26539945607824,0.217901971333746,0.419236189475175,-5.41854174974357,"CE.16:1__Pp",26,1.26650594374451,0.217486510244077,0.419129632324677,"CE 16:1","CE 16:1","CE","C43 H74 O2",622.5689,13.69,"Sterol lipids ","ST","Cholesteryl ester","Cholesteryl esters ","ST0102"
"7","CE.22:1__Pp",4.33712794220097,-7.06946118930552,1.37699823412629,0.181249446950709,0.383371715277407,-5.28167696223193,"CE.22:1__Pp",26,1.37828714096146,0.180829136561352,0.384096925104771,"CE 22:1","CE 22:1","CE","C49 H86 O2",706.6627,14.61,"Sterol lipids ","ST","Cholesteryl ester","Cholesteryl esters ","ST0102"
"8","CE.24:1__Pp",-1.65218702278684,-13.6033671766589,-0.689577477209096,0.497088070636046,0.672802923512043,-5.95660933521805,"CE.24:1__Pp",26,-0.69014939434215,0.496720551621747,0.671541705958319,"CE 24:1","CE 24:1","CE","C51 H90 O2",734.6941,14.7,"Sterol lipids ","ST","Cholesteryl ester","Cholesteryl esters ","ST0102"
"9","Cer_ADS.d16:0_13:0__Np",0.311211848550606,-1.18972839276835,1.81610509791478,0.0818947729552907,0.2555643853082,-4.65248912547946,"Cer_ADS.d16:0_13:0__Np",26,1.73431670338852,0.0956902111052583,0.275701499323071,"Cer_ADS d16:0_13:0","Cer ADS d16:0 13:0","Cer_ADS","C29 H59 N O4",485.4444,5.87,"Sphingolipids ","SP","Ceramides","Ceramide α-hydroxy fatty acid-dihydrosphingosine",""
"10","Cer_ADS.d16:0_14:0__Np",0.236383453726945,1.00354957085683,0.916693141137275,0.363622446772681,0.558855044498219,-6.1271912464272,"Cer_ADS.d16:0_14:0__Np",53,0.918775420287482,0.362538138131216,0.556720834808359,"Cer_ADS d16:0_14:0","Cer ADS d16:0 14:0","Cer_ADS","C30 H61 N O4",499.46,6.33,"Sphingolipids ","SP","Ceramides","Ceramide α-hydroxy fatty acid-dihydrosphingosine",""
"11","Cer_ADS.d16:0_14:0__Np",0.236383453726945,1.00354957085683,0.916693141137275,0.363622446772681,0.558855044498219,-6.1271912464272,"Cer_ADS.d16:0_14:0__Np",53,0.918775420287482,0.362538138131216,0.556720834808359,"Cer_ADS d16:0_14:0","Cer ADS d16:0 14:0","Cer_ADS","C30 H61 N O4",499.46,6.34,"Sphingolipids ","SP","Ceramides","Ceramide α-hydroxy fatty acid-dihydrosphingosine",""
"12","Cer_ADS.d16:0_16:0__Np",0.320299978940314,5.09941631302635,2.04599849523569,0.0459347705582731,0.178226909766099,-4.53573067410716,"Cer_ADS.d16:0_16:0__Np",53,2.05686854599399,0.0448310928091636,0.174526394748717,"Cer_ADS d16:0_16:0","Cer ADS d16:0 16:0","Cer_ADS","C32 H65 N O4",527.4915,7.34,"Sphingolipids ","SP","Ceramides","Ceramide α-hydroxy fatty acid-dihydrosphingosine",""
